Date,Site,"Station
Depth
(m)","Sample
Depth
(m)",Sample Depth (category),Time,"Latitude
(decimal degrees)","Longitude
(decimal degrees)",Sky,"Secchi
Depth
(m)","CTD Temperature
(°C)","CTD Specific Conductivity
(µS/cm)","CTD Beam Attenuation
(m-1)","CTD Transmission
(%)","CTD Dissolved Oxygen
(mg/L)","CTD Photosynthetically Active Radiation
(µE/m2/s)",Turbidity (NTU),Particulate Microcystin (µg/L),Dissolved Microcystin (µg/L),Extracted Phycocyanin (µg/L),"Extracted Chlorophyll a
(µg/L)",Total Phosphorus (µg/L),Total Dissolved Phosphorus (µg/L),Soluble Reactive Phosphorus (µg/L),Ammonia (µg/L),Nitrate + Nitrite (mg/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm ,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
7/26/2019,SB14,4.5,0.75,Surface,10:09,43.7383,-83.6405,sunny,0.75,24.08,360.95,5.7,24.04,7.06,545.17,7.46,1.62,<0.1,26.77,28.28,19.18,1.93,1.27,3.46,0.703,3.35,0.47,1.83,12.76,9
8/6/2019,SB1,4.21,0.75,Surface,12:12,43.6398,-83.661,overcast,0.75,25.22,366.7,8.5,11.94,7.12,44.17,14.9,3.89,<0.1,35.21,36.17,28.2,3.26,3.01,8.91,0.276,4.71,0.59,1.88,17.88,11.77
8/6/2019,SB2,4.32,0.75,Surface,12:42,43.6674,-83.807,overcast,1,25.15,339,5.55,24.96,7.07,349.95,9.03,2.37,<0.1,29.69,22.17,26.39,3.15,2.25,2.59,0.291,2.33,0.42,1.56,10.04,5.81
8/6/2019,SB4,6.8,0.75,Surface,8:36,43.735,-83.8784,overcast,1.25,24.66,307.7,4.11,35.78,6.75,85.96,6.72,1.35,<0.1,9.72,15.21,14.56,2.05,6.22,19.04,0.163,1.62,0.32,0.86,7.4,4.17
8/6/2019,SB5,4.14,0.75,Surface,9:18,43.894,-83.8602,overcast,1,24.77,322.11,6.02,22.18,6.61,123.69,9.7,1.83,<0.1,15.35,20.02,16.04,2.76,2.71,2.65,0.227,2.54,0.42,1.13,11.04,6.41
8/6/2019,SB14,4.31,0.75,Surface,11:27,43.7383,-83.6408,overcast,1.5,24.03,296.15,4.13,35.59,6.91,283.85,6.24,1.31,<0.1,26.77,17.88,13.72,1.65,1.58,0.29,0.265,2.35,0.35,0.85,8.84,5.61
8/6/2019,SB17,3.91,0.75,Surface,10:30,43.8833,-83.3931,overcast,1.25,25.13,298.03,5.21,27.18,6.45,105.71,5.28,0.48,<0.1,10.59,12.1,14.77,1.74,0.71,17.96,0.278,2.35,0.34,0.85,9.04,5.93
8/20/2019,SB1,4.35,0.75,Surface,11:47,43.6399,-83.6604,cloudy,1,24.68,346.8,4.84,29.84,6.38,207.78,5.37,2.04,0.16,11.04,19.31,14.17,4.6,3.81,4.42,0.08,2.9,0.4,1.44,9.05,7.07
8/20/2019,SB2,4.4,0.75,Surface,12:23,43.7011,-83.8139,hazy,1.25,24.23,325.57,4.73,30.68,7.59,643.73,6.25,2.76,0.13,22.73,22.95,16.56,3.15,3.52,2.87,0.037,2.55,0.33,1.05,18.53,10.57
8/20/2019,SB4,6.73,0.75,Surface,8:24,43.7379,-83.8769,slight haze,1,23.33,303.18,4.59,31.71,6.44,219.48,6.01,3,0.2,38.26,24.64,21.93,2.92,5.41,4.18,0.089,2.35,0.38,0.91,9.13,4.42
8/20/2019,SB5,4.28,0.75,Surface,9:16,43.8959,-83.8601,slight haze,0.75,23.34,291.85,5.88,22.97,7.07,447.67,8.31,2.55,0.21,26.11,23.99,15.85,2.45,5.81,4,0.015,3.1,0.47,0.81,12.07,7.35
8/20/2019,SB14,4.37,0.75,Surface,11:15,43.7377,-83.6408,slight haze,1,24.02,310.47,4.73,30.64,6.64,921.88,5.58,1.21,0.12,9.49,15.54,9.99,2.34,4.07,5.1,0.155,2.53,0.4,1.02,8.07,5.61
8/20/2019,SB Buoy,13.42,0.75,Surface,10:08,43.9843,-83.6006,mostly sunny,2,23.12,268.07,2.55,52.88,6.9,333.98,2.89,2.35,0.13,12.74,11.62,10,2.02,2.2,3.64,0.174,1.34,0.24,0.63,4.45,4.17
8/20/2019,SB Buoy,,12.1,Bottom,,,,,,21.34,231.29,1.78,64.08,5.9,1.57,,0.36,<0.1,3.21,4.6,,,,,,,,,,
9/5/2019,SB1,4.24,0.75,Surface,14:30,43.6399,-83.6618,clear,0.75,21.13,306.84,5.57,24.86,7.42,520.45,6.77,1.28,<0.1,8.01,17.36,19.44,2.53,4.65,3.19,0.006,2.47,0.27,0.88,10.07,7.35
9/5/2019,SB2,4.4,0.75,Surface,15:00,43.6675,-83.8073,clear,1.25,21.53,337.88,4.6,31.69,7.9,541.47,6.04,1.26,<0.1,17.06,23.27,26.68,4.59,4.63,3.64,0.05,1.13,0.13,0.95,9.33,8.02
9/5/2019,SB4,6.81,0.75,Surface,11:29,43.738,-83.8771,clear,1,21.01,303.2,4.58,31.79,7.31,198.31,5.88,1.3,<0.1,20.65,21.65,22.86,2.21,5.26,2.06,0.003,2.08,0.25,0.87,8.6,4.09
9/5/2019,SB5,4,0.75,Surface,12:15,43.8963,-83.8592,clear,0.75,20.53,316.99,5.56,24.94,7.08,349.74,6.78,1.15,<0.1,7.75,16.71,21.18,2.01,4.55,2.75,0.007,2.44,0.25,0.9,10.73,5.18
9/5/2019,SB14,4.35,0.75,Surface,14:01,43.7377,-83.6408,clear,0.75,21.53,323.69,6.35,20.43,7.05,873.24,7.96,1.49,<0.1,7.9,19.83,21.17,2.4,3.99,3.39,<0.002,3.37,0.43,1.19,12.6,8.02
9/5/2019,SB Buoy,13.37,0.75,Surface,13:01,43.9838,-83.6007,clear,1.75,19.3,198.01,2.77,49.98,7.78,1121.33,2.67,1.39,<0.1,14.36,13.33,13.46,2,4.58,3.65,0.098,1.33,0.3,0.54,4.87,2.89
9/5/2019,SB Buoy,,12.1,Bottom,,,,,,15.14,236.7,2.57,52.59,7.86,0.35,,0.86,<0.1,11.97,14.24,,,,,,,,,,
10/3/2019,SB1,4.19,0.75,Surface,13:06,43.6395,-83.6607,,0.75,16.6,285.1,5.65,24.33,6.66,109.41,9.79,1.24,<0.1,17.63,23.38,25.82,4.57,3.14,2.72,0.008,2.77,0.37,0.8,13.97,7.84
10/3/2019,SB2,4.25,0.75,Surface,12:35,43.6674,-83.807,,0.75,16.21,382.28,5.41,25.84,7.26,107.24,9.92,0.56,<0.1,27,31.35,27.39,3.64,1.25,2.25,0.009,2.89,0.33,1.19,12.57,7.28
10/3/2019,SB4,6.66,0.75,Surface,14:07,43.7378,-83.8768,,0.5,16.14,322.68,11.14,6.19,6.61,54.34,18.5,0.3,<0.1,12.64,26.33,39.91,6.73,2.1,1.95,0.01,2.98,0.36,0.9,24.9,8.72
10/3/2019,SB14,4.22,0.75,Surface,13:32,43.7383,-83.6397,,1,16.33,252.61,3.32,43.59,7.03,113.46,5.92,0.24,<0.1,8.93,16.12,16.95,3.03,3.13,1.89,0.019,2.14,0.32,0.5,9.67,5.49
